log_size,precomp,c,msm_time(ms),is_min
16,10,15,6.871,
16,10,17,10.644,
16,10,19,15.159,
16,10,21,177.095,
16,10,23,206.191,
16,10,25,236.513,
16,12,15,6.516,
16,12,17,8.443,
16,12,19,14.39,
16,12,21,188.717,
16,12,23,185.239,
16,12,25,122.175,
16,14,15,5.829,
16,14,17,7.557,
16,14,19,13.662,
16,14,21,169.567,
16,14,23,198.371,
16,14,25,137.229,
16,16,15,5.818,Yes
16,16,17,11.011,
16,16,19,13.159,
16,16,21,169.036,
16,16,23,186.666,
16,16,25,125.243,
16,18,15,7.205,
16,18,17,7.666,
16,18,19,13.133,
16,18,21,169.606,
16,18,23,185.812,
16,18,25,131.883,
16,20,15,6.863,
16,20,17,6.176,
16,20,19,16.103,
16,20,21,169.489,
16,20,23,189.51,
16,20,25,124.819,
16,22,15,5.891,
16,22,17,6.198,
16,22,19,12.611,
16,22,21,172.547,
16,22,23,201.514,
16,22,25,124.965,
18,10,15,11.95,
18,10,17,11.439,
18,10,19,39.295,
18,10,21,656.129,
18,10,23,703.779,
18,10,25,350.381,
18,12,15,11.289,
18,12,17,10.492,
18,12,19,37.788,
18,12,21,657.076,
18,12,23,682.382,
18,12,25,277.065,
18,14,15,13.355,
18,14,17,12.007,
18,14,19,36.617,
18,14,21,652.122,
18,14,23,676.547,
18,14,25,276.327,
18,16,15,12.459,
18,16,17,11.777,
18,16,19,41.997,
18,16,21,649.428,
18,16,23,674.451,
18,16,25,282.977,
18,18,15,11.533,
18,18,17,11.117,
18,18,19,37.404,
18,18,21,650.634,
18,18,23,675.964,
18,18,25,275.781,
18,20,15,12.019,
18,20,17,10.042,Yes
18,20,19,37.483,
18,20,21,648.628,
18,20,23,677.41,
18,20,25,281.885,
18,22,15,11.973,
18,22,17,11.514,
18,22,19,41.439,
18,22,21,649.391,
18,22,23,675.827,
18,22,25,278.886,
20,10,15,35.442,
20,10,17,29.917,
20,10,19,33.59,
20,10,21,2584.267,
20,10,23,2654.812,
20,10,25,948.174,
20,12,15,31.648,
20,12,17,32.196,
20,12,19,30.863,
20,12,21,2582.776,
20,12,23,2635.472,
20,12,25,866.755,
20,14,15,39.127,
20,14,17,37.873,
20,14,19,32.863,
20,14,21,2577.124,
20,14,23,2636.66,
20,14,25,870.481,
20,16,15,32.116,
20,16,17,30.744,
20,16,19,30.166,
20,16,21,2580.321,
20,16,23,2645.879,
20,16,25,871.675,
20,18,15,33.447,
20,18,17,32.325,
20,18,19,29.562,Yes
20,18,21,2578.663,
20,18,23,2640.471,
20,18,25,872.864,
20,20,15,33.326,
20,20,17,29.671,
20,20,19,30.604,
20,20,21,2585.783,
20,20,23,2646.799,
20,20,25,871.335,
20,22,15,33.38,
20,22,17,30.61,
20,22,19,31.912,
20,22,21,2576.281,
20,22,23,2640.855,
20,22,25,874.673,
22,10,15,124.468,
22,10,17,112.118,
22,10,19,106.7,
22,10,21,105.107,
22,10,23,10513.478,
22,10,25,3352.62,
22,12,15,121.242,
22,12,17,109.994,
22,12,19,97.698,
22,12,21,103.769,
22,12,23,10481.666,
22,12,25,3240.123,
22,14,15,136.121,
22,14,17,102.061,
22,14,19,100.473,
22,14,21,99.904,
22,14,23,10508.178,
22,14,25,3246.28,
22,16,15,124.052,
22,16,17,102.804,
22,16,19,102.394,
22,16,21,100.993,
22,16,23,10493.578,
22,16,25,3267.53,
22,18,15,118.358,
22,18,17,96.985,Yes
22,18,19,103.579,
22,18,21,98.059,
22,18,23,10490.95,
22,18,25,3246.368,
22,20,15,127.541,
22,20,17,114.847,
22,20,19,104.854,
22,20,21,102.63,
22,20,23,10486.198,
22,20,25,3264.62,
22,22,15,128.091,
22,22,17,102.994,
22,22,19,105.688,
22,22,21,99.943,
22,22,23,10468.289,
22,22,25,3278.263,
