log_size,precomp,c,msm_time(ms)
10.0,7.0,9.0,2.524
10.0,7.0,10.0,1.692
10.0,7.0,11.0,4.057
10.0,7.0,12.0,4.222
10.0,7.0,13.0,1.983
10.0,7.0,14.0,7.485
10.0,7.0,15.0,1.768
10.0,7.0,16.0,2.066
10.0,7.0,17.0,5.747
10.0,7.0,18.0,5.907
10.0,7.0,19.0,4.11
10.0,7.0,20.0,7.506
10.0,7.0,21.0,12.938
10.0,7.0,22.0,23.561
10.0,7.0,23.0,47.682
10.0,8.0,9.0,1.73
10.0,8.0,10.0,2.181
10.0,8.0,11.0,3.964
10.0,8.0,12.0,3.998
10.0,8.0,13.0,1.706
10.0,8.0,14.0,4.381
10.0,8.0,15.0,1.791
10.0,8.0,16.0,1.713
10.0,8.0,17.0,2.393
10.0,8.0,18.0,5.066
10.0,8.0,19.0,4.133
10.0,8.0,20.0,7.644
10.0,8.0,21.0,13.838
10.0,8.0,22.0,27.221
10.0,8.0,23.0,45.555
10.0,9.0,9.0,1.783
10.0,9.0,10.0,2.322
10.0,9.0,11.0,4.081
10.0,9.0,12.0,4.257
10.0,9.0,13.0,1.829
10.0,9.0,14.0,4.219
10.0,9.0,15.0,1.496
10.0,9.0,16.0,1.726
10.0,9.0,17.0,2.126
10.0,9.0,18.0,5.832
10.0,9.0,19.0,4.129
10.0,9.0,20.0,7.884
10.0,9.0,21.0,12.766
10.0,9.0,22.0,24.332
10.0,9.0,23.0,47.415
10.0,10.0,9.0,1.637
10.0,10.0,10.0,2.014
10.0,10.0,11.0,3.91
10.0,10.0,12.0,4.011
10.0,10.0,13.0,1.476
10.0,10.0,14.0,3.933
10.0,10.0,15.0,1.488
10.0,10.0,16.0,2.002
10.0,10.0,17.0,3.007
10.0,10.0,18.0,4.979
10.0,10.0,19.0,4.153
10.0,10.0,20.0,10.501
10.0,10.0,21.0,13.122
10.0,10.0,22.0,23.558
10.0,10.0,23.0,53.287
10.0,11.0,9.0,2.081
10.0,11.0,10.0,2.672
10.0,11.0,11.0,3.784
10.0,11.0,12.0,3.789
10.0,11.0,13.0,1.671
10.0,11.0,14.0,3.85
10.0,11.0,15.0,1.498
10.0,11.0,16.0,2.116
10.0,11.0,17.0,2.144
10.0,11.0,18.0,4.961
10.0,11.0,19.0,4.461
10.0,11.0,20.0,7.222
10.0,11.0,21.0,12.094
10.0,11.0,22.0,23.777
10.0,11.0,23.0,45.402
10.0,12.0,9.0,2.064
10.0,12.0,10.0,2.161
10.0,12.0,11.0,3.621
10.0,12.0,12.0,3.951
10.0,12.0,13.0,1.479
10.0,12.0,14.0,4.016
10.0,12.0,15.0,1.533
10.0,12.0,16.0,1.72
10.0,12.0,17.0,2.921
10.0,12.0,18.0,4.868
10.0,12.0,19.0,4.52
10.0,12.0,20.0,7.847
10.0,12.0,21.0,12.469
10.0,12.0,22.0,11.759
10.0,12.0,23.0,24.288
10.0,13.0,9.0,1.686
10.0,13.0,10.0,2.046
10.0,13.0,11.0,3.838
10.0,13.0,12.0,3.794
10.0,13.0,13.0,1.461
10.0,13.0,14.0,4.043
10.0,13.0,15.0,1.483
10.0,13.0,16.0,1.713
10.0,13.0,17.0,3.664
10.0,13.0,18.0,5.195
10.0,13.0,19.0,4.597
10.0,13.0,20.0,4.576
10.0,13.0,21.0,8.1
10.0,13.0,22.0,18.391
10.0,13.0,23.0,27.141
10.0,14.0,9.0,2.073
10.0,14.0,10.0,1.891
10.0,14.0,11.0,3.591
10.0,14.0,12.0,4.19
10.0,14.0,13.0,1.487
10.0,14.0,14.0,3.885
10.0,14.0,15.0,1.625
10.0,14.0,16.0,1.711
10.0,14.0,17.0,2.628
10.0,14.0,18.0,4.912
10.0,14.0,19.0,2.474
10.0,14.0,20.0,5.1
10.0,14.0,21.0,7.742
10.0,14.0,22.0,17.006
10.0,14.0,23.0,22.92
10.0,15.0,9.0,1.589
10.0,15.0,10.0,2.151
10.0,15.0,11.0,3.348
10.0,15.0,12.0,3.814
10.0,15.0,13.0,2.025
10.0,15.0,14.0,4.05
10.0,15.0,15.0,1.493
10.0,15.0,16.0,1.71
10.0,15.0,17.0,1.522
10.0,15.0,18.0,4.249
10.0,15.0,19.0,2.497
10.0,15.0,20.0,4.386
10.0,15.0,21.0,7.774
10.0,15.0,22.0,12.996
10.0,15.0,23.0,29.166
10.0,16.0,9.0,2.034
10.0,16.0,10.0,1.966
10.0,16.0,11.0,3.941
10.0,16.0,12.0,3.729
10.0,16.0,13.0,1.503
10.0,16.0,14.0,4.584
10.0,16.0,15.0,1.555
10.0,16.0,16.0,1.258
10.0,16.0,17.0,1.933
10.0,16.0,18.0,4.419
